bus0,carrier,p_nom_opt
EE6 0,H2 turbine,2.018592346911259e-08
EE6 0,photocatalysis,4.177724705631806e-09
ES1 0,H2 Electrolysis,0.06514370750588182
ES1 0,H2 Fuel Cell,4.709697379122953e-09
ES1 0,H2 turbine,1.9147640892504447e-08
ES1 0,photocatalysis,0.2788785725092206
ES1 1,H2 Electrolysis,2.4668937350548242e-08
ES1 1,H2 Fuel Cell,4.535581217546515e-09
ES1 1,H2 turbine,1.9145938659769125e-08
ES1 1,photocatalysis,8.643249475784058e-08
ES1 10,H2 Electrolysis,0.013076802053673358
ES1 10,H2 Fuel Cell,4.720831001706109e-09
ES1 10,H2 turbine,1.9146183127201214e-08
ES1 10,photocatalysis,3.114085638945267e-08
ES1 2,H2 Electrolysis,0.018860995921461045
ES1 2,H2 Fuel Cell,4.753280801227622e-09
ES1 2,H2 turbine,1.914218527299212e-08
ES1 2,photocatalysis,2.659873467725066e-08
ES1 3,H2 Electrolysis,0.007227182625210597
ES1 3,H2 Fuel Cell,4.744096873542435e-09
ES1 3,H2 turbine,1.9147232109851915e-08
ES1 3,photocatalysis,7.882848070683491e-09
ES1 4,H2 Electrolysis,0.0010660393974937644
ES1 4,H2 Fuel Cell,4.7327600582993816e-09
ES1 4,H2 turbine,1.919717016902368e-08
ES1 4,photocatalysis,0.41951215064993425
ES1 5,H2 Electrolysis,0.049855828184655185
ES1 5,H2 Fuel Cell,4.738599076247922e-09
ES1 5,H2 turbine,1.9144724667682964e-08
ES1 5,photocatalysis,7.758481659316566e-08
ES1 6,H2 Electrolysis,0.01545329939062821
ES1 6,H2 Fuel Cell,4.736685197665433e-09
ES1 6,H2 turbine,1.9141126731969837e-08
ES1 6,photocatalysis,0.0001238371180204172
ES1 7,H2 Electrolysis,0.06861795738766416
ES1 7,H2 Fuel Cell,4.6915164499163626e-09
ES1 7,H2 turbine,1.914888294832624e-08
ES1 7,photocatalysis,9.439768209334041e-09
ES1 8,H2 Electrolysis,0.007593767100984574
ES1 8,H2 Fuel Cell,4.738963816237276e-09
ES1 8,H2 turbine,1.9214556211443896e-08
ES1 8,photocatalysis,0.1454834104739822
ES1 9,H2 Electrolysis,0.009016171519556495
ES1 9,H2 Fuel Cell,4.724324863432928e-09
ES1 9,H2 turbine,1.914270377542712e-08
ES1 9,photocatalysis,1.281135496626196e-08
ES4 0,H2 Electrolysis,0.0006935894427623169
ES4 0,H2 Fuel Cell,4.866690833677187e-09
ES4 0,H2 turbine,1.9957984660499045e-08
ES4 0,photocatalysis,3.19251378057418e-08
FI2 0,H2 Electrolysis,0.010609784312508048
FI2 0,H2 Fuel Cell,4.7440450353778154e-09
FI2 0,H2 turbine,1.9149345414497752e-08
FI2 0,photocatalysis,2.8358583289099554e-09
FI2 1,H2 Electrolysis,0.03217685222892561
FI2 1,H2 Fuel Cell,4.796682448637486e-09
FI2 1,H2 turbine,1.9147572209310093e-08
FI2 1,photocatalysis,3.916352489006907e-09
FI2 2,H2 Electrolysis,0.016284087786234542
FI2 2,H2 Fuel Cell,4.797057307970305e-09
FI2 2,H2 turbine,1.9146652674455488e-08
FI2 2,photocatalysis,3.707929427123653e-09
FI2 3,H2 Electrolysis,0.045748264808260386
FI2 3,H2 Fuel Cell,4.789300731614216e-09
FI2 3,H2 turbine,1.9147057218995482e-08
FI2 3,photocatalysis,3.821103135006368e-09
FR1 0,H2 Electrolysis,0.04460109687253856
FR1 0,H2 Fuel Cell,5.254717374232478e-09
FR1 0,H2 turbine,2.227055127473171e-08
FR1 0,photocatalysis,5.468059151871127e-09
FR1 1,H2 Electrolysis,0.09654325627988736
FR1 1,H2 Fuel Cell,4.806022783918794e-09
FR1 1,H2 turbine,1.916212148732865e-08
FR1 1,photocatalysis,1.9490962373379905e-08
FR1 10,H2 Electrolysis,0.012428755251631672
FR1 10,H2 Fuel Cell,5.278574049544939e-09
FR1 10,H2 turbine,2.2222744237337164e-08
FR1 10,photocatalysis,5.268997459005932e-09
FR1 11,H2 Electrolysis,0.028476618142571988
FR1 11,H2 Fuel Cell,4.87138913875094e-09
FR1 11,H2 turbine,1.915247893827409e-08
FR1 11,photocatalysis,1.5650414553285982e-08
FR1 12,H2 Electrolysis,0.0026279823209925473
FR1 12,H2 Fuel Cell,5.1201885820437645e-09
FR1 12,H2 turbine,2.060169845830147e-08
FR1 12,photocatalysis,6.104345450693471e-09
FR1 13,H2 Electrolysis,6.334136998207557e-08
FR1 13,H2 Fuel Cell,5.119882525844745e-09
FR1 13,H2 turbine,1.9290370729040945e-08
FR1 13,photocatalysis,7.75838550837719e-09
FR1 14,H2 Electrolysis,0.026377824484406405
FR1 14,H2 Fuel Cell,4.927094217979419e-09
FR1 14,H2 turbine,2.093451367781647e-08
FR1 14,photocatalysis,5.8216498784896e-09
FR1 15,H2 Electrolysis,0.12312025468997911
FR1 15,H2 Fuel Cell,4.912499142822787e-09
FR1 15,H2 turbine,2.104830054658856e-08
FR1 15,photocatalysis,5.821482106226247e-09
