Bus,x,y
NO2 1,16.298675666666664,67.68183466666666
NO2 2,10.202669428571426,63.18749964285714
NO2 3,7.462267257142855,59.43106194285714
NO2 4,13.250492714285715,65.59334057142857
NO2 5,6.17736398493772,60.68748191956558
PL1 0,15.944352836552282,51.98019137970621
PL1 1,21.8557548125,50.6447228125
PL1 2,19.12119715604955,52.36881044542309
PL1 3,19.126980644564792,50.379196660479515
PL1 4,21.3418754065852,52.51242574644202
PL1 5,17.6038102378455,54.13017911376354
PT1 0,-8.0177181406526,41.01656666467592
PT1 1,-8.753908756679785,39.058912741995364
RO1 0,23.338135628034625,45.711759139295054
RO1 1,27.10329072463907,45.36726311114552
RS1 0,20.662691528520664,44.11371028940375
SE2 0,17.201938,63.519917655172414
SE2 1,13.271563379310345,57.31081919010218
SE2 2,20.8481025,66.08440350000001
